__defaultPointSize,__nodeid__,__pointCommunity,_title,degree,degree_in,degree_out,x,y,pointColor
22,"<div class=""video-container-invidio"" data-video=""FrG4TEcSuRg"" data-params=""&&""><span class=""unimportant yt-help"">Invidious embed. Click thumbnail to play.</span><br><a href=""https://invidio.us/watch?v=FrG4TEcSuRg"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//i.ytimg.com/vi/FrG4TEcSuRg/mqdefault.jpg"" class=""post-image""/></a></div>",36,"<div class=""video-container-invidio"" data-video=""FrG4TEcSuRg"" data-params=""&&""><span class=""unimportant yt-help"">Invidious embed. Click thumbnail to play.</span><br><a href=""https://invidio.us/watch?v=FrG4TEcSuRg"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//i.ytimg.com/vi/FrG4TEcSuRg/mqdefault.jpg"" class=""post-image""/></a></div>",1,1,0,-19.855905532836914,33.342735290527344,-5845277
40,13553793,37,13553793,2,0,2,114.18096923828125,80.29841613769531,-14714700
22,"<div class=""video-container-vimeo"" data-video=""351448507"" data-params=""&&""><span class=""unimportant yt-help"">Vimeo embed. Click thumbnail to play.</span><br><a href=""https://vimeo.com/351448507"" target=""_blank"" class=""file""><img src=""/static/vimeo.jpg"" id=""351448507"" data-params=""351448507"" class=""post-image vimeo_thumb""/></a></div>",37,"<div class=""video-container-vimeo"" data-video=""351448507"" data-params=""&&""><span class=""unimportant yt-help"">Vimeo embed. Click thumbnail to play.</span><br><a href=""https://vimeo.com/351448507"" target=""_blank"" class=""file""><img src=""/static/vimeo.jpg"" id=""351448507"" data-params=""351448507"" class=""post-image vimeo_thumb""/></a></div>",1,1,0,115.26133728027344,75.72261047363281,-14714700
22,"<div class=""video-container"" data-video=""MA1BX7jPPMo"" data-params=""&&""><span class=""unimportant yt-help"">YouTube embed. Click thumbnail to play.</span><br><a href=""https://www.youtube.com/watch?v=MA1BX7jPPMo"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//img.youtube.com/vi/MA1BX7jPPMo/0.jpg"" class=""post-image""/></a></div>",37,"<div class=""video-container"" data-video=""MA1BX7jPPMo"" data-params=""&&""><span class=""unimportant yt-help"">YouTube embed. Click thumbnail to play.</span><br><a href=""https://www.youtube.com/watch?v=MA1BX7jPPMo"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//img.youtube.com/vi/MA1BX7jPPMo/0.jpg"" class=""post-image""/></a></div>",1,1,0,111.81993865966797,84.32926940917969,-14714700
5,13566886,40,13566886,0,0,0,-10.91209602355957,-1.8965117931365967,-288103
5,13567999,41,13567999,0,0,0,10.839493751525879,7.062195777893066,-1893860
5,13568318,42,13568318,0,0,0,21.416772842407227,15.257816314697266,-147601
5,13568480,43,13568480,0,0,0,20.21177864074707,-2.7511582374572754,-33024
5,13569424,44,13569424,0,0,0,36.42353057861328,7.934442043304443,-3493162
5,13569426,45,13569426,0,0,0,-17.586410522460938,9.726871490478516,-9814630
5,13569505,46,13569505,0,0,0,-30.546520233154297,54.41733169555664,-103
5,13569903,47,13569903,0,0,0,-7.787090301513672,72.40613555908203,-5154520
5,13531057,48,13531057,0,0,0,9.491273880004883,29.861093521118164,-5845277
5,13540157,49,13540157,0,0,0,3.1048226356506348,107.6358642578125,-14714700
5,13548255,50,13548255,0,0,0,12.34640121459961,53.301326751708984,-5054582
5,13548324,51,13548324,0,0,0,22.828441619873047,78.53933715820312,-13393876
5,13560022,52,13560022,0,0,0,2.5551581382751465,14.244440078735352,-288103
5,13564457,53,13564457,0,0,0,41.7220458984375,96.2602767944336,-1893860
5,13567913,54,13567913,0,0,0,41.11917495727539,55.925376892089844,-147601
5,13570393,55,13570393,0,0,0,41.92646408081055,33.14519119262695,-33024
5,13571635,56,13571635,0,0,0,-27.409225463867188,93.9970474243164,-3493162
